[19:20:27] - INFO: Updating RPC with NVIDIA GeForce RTX 2060 | RAM: 8.6G/15.9G, AMD Ryzen 5 3600 6-Core Processor              , Base
[19:21:19] - INFO: Updating RPC with Glass Animals, Heat Waves 2:18/3:59, YouTube Music
[19:21:20] - INFO: Updating RPC with Glass Animals, Heat Waves 2:18/3:59, YouTube Music
[19:21:20] - INFO: Updating RPC with Glass Animals, Heat Waves 2:19/3:59, YouTube Music
[19:21:20] - INFO: Updating RPC with Glass Animals, Heat Waves 2:19/3:59, YouTube Music
[19:21:20] - INFO: Updating RPC with Glass Animals, Heat Waves 2:19/3:59, YouTube Music
[19:21:21] - INFO: Updating RPC with Glass Animals, Heat Waves 2:20/3:59, YouTube Music
[19:21:21] - INFO: Updating RPC with Glass Animals, Heat Waves 2:20/3:59, YouTube Music
[19:21:21] - INFO: Updating RPC with Glass Animals, Heat Waves 2:20/3:59, YouTube Music
[19:21:21] - INFO: Updating RPC with Glass Animals, Heat Waves 2:20/3:59, YouTube Music
[19:21:22] - INFO: Updating RPC with Glass Animals, Heat Waves 2:21/3:59, YouTube Music
[19:21:22] - INFO: Updating RPC with Glass Animals, Heat Waves 2:21/3:59, YouTube Music
[19:21:22] - INFO: Updating RPC with Glass Animals, Heat Waves 2:21/3:59, YouTube Music
[19:21:22] - INFO: Updating RPC with Glass Animals, Heat Waves 2:21/3:59, YouTube Music
[19:21:23] - INFO: Updating RPC with Glass Animals, Heat Waves 2:22/3:59, YouTube Music
[19:21:23] - INFO: Updating RPC with Glass Animals, Heat Waves 2:22/3:59, YouTube Music
[19:21:23] - INFO: Updating RPC with Glass Animals, Heat Waves 2:22/3:59, YouTube Music
[19:21:23] - INFO: Updating RPC with Glass Animals, Heat Waves 2:22/3:59, YouTube Music
[19:21:24] - INFO: Updating RPC with Glass Animals, Heat Waves 2:23/3:59, YouTube Music
[19:21:24] - INFO: Updating RPC with Glass Animals, Heat Waves 2:23/3:59, YouTube Music
[19:21:24] - INFO: Updating RPC with Glass Animals, Heat Waves 2:23/3:59, YouTube Music
[19:21:24] - INFO: Updating RPC with Glass Animals, Heat Waves 2:23/3:59, YouTube Music
[19:21:25] - INFO: Updating RPC with Glass Animals, Heat Waves 2:24/3:59, YouTube Music
[19:21:25] - INFO: Updating RPC with Glass Animals, Heat Waves 2:24/3:59, YouTube Music
[19:21:25] - INFO: Updating RPC with Glass Animals, Heat Waves 2:24/3:59, YouTube Music
[19:21:25] - INFO: Updating RPC with Glass Animals, Heat Waves 2:24/3:59, YouTube Music
[19:21:26] - INFO: Updating RPC with Glass Animals, Heat Waves 2:25/3:59, YouTube Music
